fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-12-15,bitcoin,17808.71617265881,342692750075.4062,27267536668.811485,17804.01,17854.82,17275.51,17356.34,1,0.7727641504548467,Fuerte Dirección Bajista,-0.025097244027040277
2022-12-16,bitcoin,17338.358126632633,333854506370.7365,22754686787.817104,17356.96,17531.73,16527.32,16632.12,1,0.7216574904670406,Fuerte Dirección Bajista,-0.041726539120575
2022-12-17,bitcoin,16623.75782614431,318992400741.96515,22250411214.773224,16631.5,16796.82,16579.85,16776.52,1,0.668387334654559,Fuerte Volatilidad,0.008681996041394635
2022-12-18,bitcoin,16806.48559206152,323096167353.6004,15086383815.776106,16777.54,16863.26,16663.07,16738.21,1,0.19646335980819224,Indecisión,-0.0022835486739801736
2022-12-19,bitcoin,16742.816663834055,322740705484.67255,11134054723.147482,16739.0,16815.99,16256.3,16438.88,1,0.5362254104950914,Fuerte Volatilidad,-0.017883035282745152
2022-12-20,bitcoin,16422.562273279298,316270478163.65466,17719672544.8918,16438.88,17061.27,16397.2,16895.56,1,0.6876985859924413,Fuerte Volatilidad,0.027780481395326184
2022-12-21,bitcoin,16899.331969046758,325120443529.51874,24938219697.886032,16896.15,16925.0,16723.0,16824.67,1,0.3538613861386297,Fuerte Volatilidad,-0.004195776878659463
2022-12-22,bitcoin,16816.85370118997,323127932459.19025,16062767787.358068,16824.68,16868.52,16559.85,16821.43,1,0.010529043962808113,Indecisión,-0.0001925743565845961
2022-12-23,bitcoin,16824.790162441503,323519254392.6745,17847826941.681046,16821.9,16955.14,16731.13,16778.5,1,0.19374135083256,Indecisión,-0.0025521016940890373
2022-12-24,bitcoin,16791.45543916491,323013370317.24255,16765392449.950893,16778.52,16869.99,16776.62,16836.12,1,0.6169005033736418,Fuerte Volatilidad,0.003434156807819555
2022-12-25,bitcoin,16848.568708323422,324072643385.91296,10169853734.117493,16835.73,16857.96,16721.0,16832.11,1,0.026431074766347873,Indecisión,-0.00023817839264617113
2022-12-26,bitcoin,16842.177039905502,323868581953.1157,12574453968.75801,16832.11,16944.52,16791.0,16919.39,1,0.5685252735799804,Fuerte Volatilidad,0.005185327329728651
2022-12-27,bitcoin,16900.081871938084,325036912914.6697,12574997282.039291,16919.39,16972.83,16592.37,16706.36,1,0.5599274562371794,Fuerte Volatilidad,-0.012590879458420079
2022-12-28,bitcoin,16701.840210667935,321351469136.8621,17436062121.5136,16706.06,16785.19,16465.33,16547.31,1,0.4963108860126353,Fuerte Volatilidad,-0.00952032639066791
