,Cripto,fechas,pricesnew,market_capsnew,total_volumesnew
274,bitcoin,2023-05-17,27022.713173921147,523965691858.8659,12927093920.902998
275,bitcoin,2023-05-18,27389.971511442203,530762551513.4872,12580626234.913448
276,bitcoin,2023-05-19,26842.95249471792,520544913836.41003,12599487111.93878
277,bitcoin,2023-05-20,26884.371059589947,521153640362.9618,11559136131.368769
278,bitcoin,2023-05-21,27093.79110149735,525040003344.1629,3882362454.219783
279,bitcoin,2023-05-22,26773.83024366478,519171380714.0945,8125825605.684245
280,bitcoin,2023-05-23,26869.686021790778,520821915713.9187,8025716966.179398
281,bitcoin,2023-05-24,27222.937746603853,527528695688.7587,11685763863.312372
282,bitcoin,2023-05-25,26338.948946998687,510987979871.2201,17477200137.10873
283,bitcoin,2023-05-26,26475.607902534273,513295724355.69904,11953749225.494001
284,bitcoin,2023-05-27,26717.987553571777,517973731437.9403,10994037071.45216
285,bitcoin,2023-05-28,26848.23993959246,520461980942.25433,6029471707.897409
286,bitcoin,2023-05-29,28110.313467609285,544879177078.8053,13144599279.47902
287,bitcoin,2023-05-30,27759.746663920676,538430950369.49817,13483205892.539595
288,bitcoin,2023-05-31,27713.908547529507,537414074116.4985,12766436369.815956
289,bitcoin,2023-06-01,27245.474465179723,528464394082.93866,10001106221.647074
290,bitcoin,2023-06-02,26824.10149951678,520271910707.11273,12156086970.872988
291,bitcoin,2023-06-03,27247.74008145703,528508990069.2122,15428145241.775957
292,bitcoin,2023-06-04,27066.371328526235,525209390395.50604,6673279605.629511
293,bitcoin,2023-06-05,27315.447587487684,529630092281.38684,6098045626.047618
294,bitcoin,2023-06-06,25792.6160902334,500593893699.2183,21208433571.87331
295,bitcoin,2023-06-07,27216.61556469773,527295592028.08093,22188018260.83246
296,bitcoin,2023-06-08,26346.244545137633,510979921090.6337,14723854336.09437
297,bitcoin,2023-06-09,26507.90989220298,514279355771.4992,10197924963.780262
298,bitcoin,2023-06-10,26469.581684007026,513226142603.1213,10464066236.48124
299,bitcoin,2023-06-11,25858.12289218562,501653860264.2029,9755626714.244692
300,bitcoin,2023-06-12,25916.57989637981,502683000962.43024,10439993428.365507
301,bitcoin,2023-06-13,25910.362742919464,502562686069.16986,9761691909.31603
302,bitcoin,2023-06-14,25872.20645879509,501752262681.7188,9921875985.888603
303,bitcoin,2023-06-15,25107.754695880594,487262840554.6715,11982737579.702812
304,bitcoin,2023-06-16,25564.599632887144,495788386559.10156,15184095954.029512
305,bitcoin,2023-06-17,26327.3256694539,510906153487.60516,13604025863.641972
306,bitcoin,2023-06-18,26501.044442233673,514331114457.8236,9533422254.890303
307,bitcoin,2023-06-19,26333.092529664373,511384956032.88007,8589379740.11672
308,bitcoin,2023-06-20,26779.387461522838,519667661979.1768,6651894946.454161
309,bitcoin,2023-06-21,28330.891419807507,549330089183.52325,19958565664.552258
310,bitcoin,2023-06-22,30101.764819488686,584070487996.789,23757254196.777027
311,bitcoin,2023-06-23,29935.632106749556,581473706978.9268,19613389213.798763
312,bitcoin,2023-06-24,30629.24435333575,594588611688.3142,22630955878.97284
313,bitcoin,2023-06-25,30537.816664634793,592912110031.5245,11736119929.84371
314,bitcoin,2023-06-26,30454.75697441562,591387700082.1104,12076819255.30491
315,bitcoin,2023-06-27,30285.50506407074,587134340343.6245,16032184116.631308
316,bitcoin,2023-06-28,30693.54635606798,595427193050.2291,14411853963.110468
317,bitcoin,2023-06-29,30083.477245263824,584187696961.3756,8489428028.028098
318,bitcoin,2023-06-30,30466.610456893526,591688337868.8445,12545425127.446297
319,bitcoin,2023-07-01,30480.781481944465,591722375245.7673,21422361050.823097
320,bitcoin,2023-07-02,30583.619599697537,593625140902.5646,4210431244.4326854
321,bitcoin,2023-07-03,30571.887072871446,593627203721.8534,7236318143.905301
322,bitcoin,2023-07-04,31134.713133508405,604507839820.0979,14755008156.77765
323,bitcoin,2023-07-05,30775.624022375305,598449423994.1252,12403890725.264545
324,bitcoin,2023-07-06,30484.79377442352,592386606697.3153,10260132141.46154
325,bitcoin,2023-07-07,29990.055151220247,583429029204.2451,21776707863.503353
326,bitcoin,2023-07-08,30315.26540235163,588811434763.8912,13018507892.814608
327,bitcoin,2023-07-09,30264.19734525722,587678367157.9867,5608541981.756295
328,bitcoin,2023-07-10,30169.87065747925,585883986681.1711,7559670230.189486
329,bitcoin,2023-07-11,30394.28114637557,590311894648.7518,12835219756.96589
330,bitcoin,2023-07-12,30620.81424697801,594749192359.1351,11753418050.421658
331,bitcoin,2023-07-13,30407.41631435991,590629381260.7114,13072555444.262321
332,bitcoin,2023-07-14,31446.0149710716,610725509598.8464,21254274345.702217
333,bitcoin,2023-07-15,30311.827808130518,588107447250.1327,21977151420.853252
334,bitcoin,2023-07-16,30297.971400125534,588642134563.5204,6233916918.782722
335,bitcoin,2023-07-17,30237.334785146097,586391434733.7153,8356410453.563714
336,bitcoin,2023-07-18,30147.860079211525,585500720965.1113,10974383371.546566
337,bitcoin,2023-07-19,29848.03227250528,579708613537.5165,13152758553.030825
338,bitcoin,2023-07-20,29919.87483825516,581327322356.8716,8545620844.326587
339,bitcoin,2023-07-21,29787.041530355687,579308712612.258,11117456853.464512
340,bitcoin,2023-07-22,29914.68272835899,581397880391.4172,8492627980.9282
341,bitcoin,2023-07-23,29710.155935991766,577068525402.119,6745541064.873876
342,bitcoin,2023-07-24,30057.956718714588,584296796267.4817,7427606999.412798
343,bitcoin,2023-07-25,29184.901913057693,567051778655.836,15195244950.838041
344,bitcoin,2023-07-26,29222.974630383527,568019115128.7598,7929844775.363448
345,bitcoin,2023-07-27,29363.672907978616,570531781624.6747,13088677750.42505
346,bitcoin,2023-07-28,29200.244001291314,567708714251.7643,9047649539.81237
347,bitcoin,2023-07-29,29314.09738709836,569952119667.3986,7682754827.0541115
348,bitcoin,2023-07-30,29356.74774591667,570804910032.5747,4882536540.911603
349,bitcoin,2023-07-31,29277.755810272716,569135711632.8535,7872881636.625643
350,bitcoin,2023-08-01,29233.136365580438,568333703606.0996,6641808341.386258
351,bitcoin,2023-08-02,29537.109746927432,572408929757.971,15289922840.873833
352,bitcoin,2023-08-03,29146.63627084363,567074709353.651,19266318894.086517
353,bitcoin,2023-08-04,29176.15059658541,567940644790.4882,12539132810.40034
